id,slug,product_name,brand_slug,category_slug,subcategory,gender,description,colors,sizes,tags,rating,reviews,views,new_in,image_url,store_slug,price_usd,original_price_usd,availability,product_url
PI-0081,nordstrom-nordstrom-classic-blazer,Nordstrom Classic Blazer,nordstrom,clothing,Dresses,women,"Nordstrom Nordstrom Classic Blazer — dresses tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; dresses,3.8,214,4415,false,,nordstrom,800,1000,LOW STOCK,https://www.nordstrom.com/p/nordstrom-1-classic-blazer
PI-0082,nordstrom-nordstrom-relaxed-shirt-dress,Nordstrom Relaxed Shirt Dress,nordstrom,mens-clothing,Jackets,men,"Nordstrom Nordstrom Relaxed Shirt Dress — jackets tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jackets,4.3,233,1500,false,,nordstrom,960,1920,LOW STOCK,https://www.nordstrom.com/p/nordstrom-2-relaxed-shirt-dress
PI-0083,nordstrom-nordstrom-slim-fit-denim-jacket,Nordstrom Slim Fit Denim Jacket,nordstrom,clothing,Jeans,unisex,"Nordstrom Nordstrom Slim Fit Denim Jacket — jeans tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Denim,,clothing; jeans,4.8,52,3417,false,,nordstrom,900,1500,IN STOCK,https://www.nordstrom.com/p/nordstrom-3-slim-fit-denim-jacket
PI-0084,nordstrom-nordstrom-oversized-knit-sweater,Nordstrom Oversized Knit Sweater,nordstrom,clothing,Shirts,women,"Nordstrom Nordstrom Oversized Knit Sweater — shirts tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; shirts,3.9,71,6294,false,,nordstrom,1700,3400,IN STOCK,https://www.nordstrom.com/p/nordstrom-4-oversized-knit-sweater
PI-0085,nordstrom-nordstrom-tailored-trench-coat,Nordstrom Tailored Trench Coat,nordstrom,mens-clothing,Sweaters,men,"Nordstrom Nordstrom Tailored Trench Coat — sweaters tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Red,,clothing; sweaters,4.4,90,7525,false,,nordstrom,940,1253.34,IN STOCK,https://www.nordstrom.com/p/nordstrom-5-tailored-trench-coat
PI-0086,nordstrom-nordstrom-classic-midi-dress,Nordstrom Classic Midi Dress,nordstrom,clothing,Dresses,unisex,"Nordstrom Nordstrom Classic Midi Dress — dresses tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; dresses,4.9,109,3320,true,,nordstrom,980,1152.94,IN STOCK,https://www.nordstrom.com/p/nordstrom-6-classic-midi-dress
PI-0087,nordstrom-nordstrom-relaxed-blazer,Nordstrom Relaxed Blazer,nordstrom,clothing,Jackets,women,"Nordstrom Nordstrom Relaxed Blazer — jackets tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jackets,4,128,5131,false,,nordstrom,880,1173.34,IN STOCK,https://www.nordstrom.com/p/nordstrom-7-relaxed-blazer
PI-0088,nordstrom-nordstrom-slim-fit-shirt-dress,Nordstrom Slim Fit Shirt Dress,nordstrom,mens-clothing,Jeans,men,"Nordstrom Nordstrom Slim Fit Shirt Dress — jeans tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jeans,4.9,43,2670,false,,nordstrom,1080,2160,IN STOCK,https://www.nordstrom.com/p/nordstrom-8-slim-fit-shirt-dress
PI-0089,nordstrom-nordstrom-oversized-denim-jacket,Nordstrom Oversized Denim Jacket,nordstrom,clothing,Shirts,unisex,"Nordstrom Nordstrom Oversized Denim Jacket — shirts tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Denim,,clothing; shirts,4,62,8103,false,,nordstrom,1900,2533.34,IN STOCK,https://www.nordstrom.com/p/nordstrom-9-oversized-denim-jacket
PI-0090,nordstrom-nordstrom-tailored-knit-sweater,Nordstrom Tailored Knit Sweater,nordstrom,clothing,Sweaters,women,"Nordstrom Nordstrom Tailored Knit Sweater — sweaters tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Red,,clothing; sweaters,4.6,204,1993,false,,nordstrom,840,988.24,IN STOCK,https://www.nordstrom.com/p/nordstrom-10-tailored-knit-sweater
