product_name,brand_slug,category_slug,subcategory,gender,price,original_price,availability,product_url,product_image_url
PW Adistar Jellyfish Shoes,adidas,shoes,Originals,Unisex,300,300,In Stock,https://www.adidas.com/us/pw-adistar-jellyfish-shoes/KH6729.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/c4df1fb7186e4db28f5d9365718a279a_9366/pw-adistar-jellyfish-shoes.jpg"
Billie Jean King Shoes,adidas,shoes,Women's Originals,Women,110,110,In Stock,https://www.adidas.com/us/billie-jean-king-shoes/KH9856.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/1c1f8a4028f0466f87649043315f6d77_9366/billie-jean-king-shoes.jpg"
Billie Jean King Shoes,adidas,shoes,Women's Originals,Women,110,110,In Stock,https://www.adidas.com/us/billie-jean-king-shoes/KH9857.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/9d7aedac9a254762a4c0ad5aad6b1da8_9366/billie-jean-king-shoes.jpg"
Samba Og Shoes,adidas,shoes,Women's Originals,Women,120,120,In Stock,https://www.adidas.com/us/samba-og-shoes/KJ7435.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/f88fdc6701a845be8fa1b2d0656b4ab0_9366/samba-og-shoes.jpg"
Samba Jane Shoes,adidas,shoes,Women's Originals,Women,110,110,In Stock,https://www.adidas.com/us/samba-jane-shoes/HQ7708.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/c793cdb6d1ea4273a49a738732e9eb29_9366/samba-jane-shoes.jpg"
Handball Spezial Shoes,adidas,shoes,Originals,Unisex,110,110,In Stock,https://www.adidas.com/us/handball-spezial-shoes/KK1153.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/349ec8b3dbb84fc382bdd9bea4c316a3_9366/handball-spezial-shoes.jpg"
Samba Jane Shoes,adidas,shoes,Women's Originals,Women,110,110,In Stock,https://www.adidas.com/us/samba-jane-shoes/KK2502.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/490362c7034e4d68ad027f40ab30116b_9366/samba-jane-shoes.jpg"
Campus 00s Shoes,adidas,shoes,Women's Originals,Women,77,110,In Stock,https://www.adidas.com/us/campus-00s-shoes/GY0042.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/b3eb4e526c3b4f268c53af7b0092b158_9366/campus-00s-shoes.jpg"
Climacool Shoes,adidas,shoes,Sportswear,Unisex,150,150,In Stock,https://www.adidas.com/us/climacool-shoes/KJ2597.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/e72ff7f8350b46c184db325a2f8ec7a6_9366/climacool-shoes.jpg"
Climacool Laced Shoes,adidas,shoes,Sportswear,Unisex,170,170,In Stock,https://www.adidas.com/us/climacool-laced-shoes/KJ2595.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/8d638c67bd9f42dc8ae70bf6bedad1b7_9366/climacool-laced-shoes.jpg"
Samba OG Shoes,adidas,shoes,Originals,Unisex,100,100,In Stock,https://www.adidas.com/us/samba-og-shoes/B75806.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/9b983d5bc09a4d4aba39a8bf011869ba_9366/samba-og-shoes.jpg"
Campus 00s Shoes,adidas,shoes,Women's Originals,Women,77,110,In Stock,https://www.adidas.com/us/campus-00s-shoes/JP9163.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/b96b1eac2f1c435792ccb51629220f9c_9366/campus-00s-shoes.jpg"
Samba Jane Shoes,adidas,shoes,Women's Originals,Women,110,110,In Stock,https://www.adidas.com/us/samba-jane-shoes/LA7836.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/f3e795b38ade43bbba931822960cbd6f_9366/samba-jane-shoes.jpg"
Samba Jane Shoes,adidas,shoes,Women's Originals,Women,100,100,In Stock,https://www.adidas.com/us/samba-jane-shoes/JQ6445.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/c7031cdac715478ca61b26fbcd74c5a0_9366/samba-jane-shoes.jpg"
Samba OG Shoes Kids,adidas,shoes,Youth Originals,Kids,80,80,In Stock,https://www.adidas.com/us/samba-og-shoes-kids/IE3675.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/9fb258a11a25407ab06b52eed1cca37b_9366/samba-og-shoes-kids.jpg"
Handball Spezial Shoes,adidas,shoes,Originals,Unisex,110,110,In Stock,https://www.adidas.com/us/handball-spezial-shoes/IF7087.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/53168a510a5a421281007a794fc4a6f0_9366/handball-spezial-shoes.jpg"
Samba Og Shoes,adidas,shoes,Women's Originals,Women,110,110,In Stock,https://www.adidas.com/us/samba-og-shoes/KJ7479.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/eec3ba0f58b0482c811ba0eeccb6e76a_9366/samba-og-shoes.jpg"
Hyperboost Ephr Shoes,adidas,shoes,Originals,Unisex,170,170,In Stock,https://www.adidas.com/us/hyperboost-ephr-shoes/LA6206.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/a27dcb4f37c7430288b48a84cd5d99a8_9366/hyperboost-ephr-shoes.jpg"
Hyperboost Ephr Lt Shoes,adidas,shoes,Originals,Unisex,150,150,In Stock,https://www.adidas.com/us/hyperboost-ephr-lt-shoes/KZ8509.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/ab37c6e90db747f6b3f5947002e8b109_9366/hyperboost-ephr-lt-shoes.jpg"
