product_name,brand_slug,category_slug,subcategory,gender,price,original_price,availability,product_url,product_image_url,store_slug
MINI DRESS WITH PLEATED SLEEVES,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,69.9,69.9,In Stock,https://www.zara.com/us/en/mini-dress-with-pleated-sleeves-p07827777.html,https://static.zara.net/assets/public/d210/18da/0fb94bbf9c46/85134b05a696/07827777800-a1/07827777800-a1.jpg,zara-store
SATIN MINI DRESS,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,59.9,59.9,In Stock,https://www.zara.com/us/en/satin-mini-dress-p07100306.html,https://static.zara.net/assets/public/7851/66ca/d5564e6ab2b8/dc3f17128b49/07100402084-a3/07100402084-a3.jpg,zara-store
SHOULDER PAD ROMPER,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,79.9,79.9,In Stock,https://www.zara.com/us/en/shoulder-pad-short-jumpsuit-p04772246.html,https://static.zara.net/assets/public/99ba/ad5b/ee154f63ba0f/3bba3c45caf9/04772246251-a3/04772246251-a3.jpg,zara-store
METALLIC EFFECT CUT-OUT BODYSUIT,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,49.9,49.9,In Stock,https://www.zara.com/us/en/metallic-effect-open-back-bodysuit-p01165741.html,https://static.zara.net/assets/public/04bb/4813/302041469455/18075d4170ba/01165741808-a1/01165741808-a1.jpg,zara-store
METALLIC EFFECT HALTER MIDI DRESS,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,59.9,59.9,In Stock,https://www.zara.com/us/en/metallic-effect-halter-midi-dress-p01165742.html,https://static.zara.net/assets/public/f968/74ec/f2ba47b58f0c/3226fd1c289e/01165742808-p/01165742808-p.jpg,zara-store
SHOULDER PAD SHORT JUMPSUIT,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,79.9,79.9,In Stock,https://www.zara.com/us/en/shoulder-pad-short-jumpsuit-p04772246.html,https://static.zara.net/assets/public/abfb/71bc/3ff641a6b6ee/a232c534aa4a/04772246800-a1/04772246800-a1.jpg,zara-store
SHOULDER PAD ROMPER (2),zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,99.9,99.9,In Stock,https://www.zara.com/us/en/shoulder-pad-romper-p04772216.html,https://static.zara.net/assets/public/bf7e/00b8/8d55447099f8/434f45899f5f/04772216251-a1/04772216251-a1.jpg,zara-store
SHOULDER PAD SEAM DETAIL MINI DRESS,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,69.9,69.9,In Stock,https://www.zara.com/us/en/shoulder-pad-seamed-mini-dress-p07825444.html,https://static.zara.net/assets/public/7d50/0259/e39c42b0828e/3315e6726197/07825444800-a1/07825444800-a1.jpg,zara-store
ANIMAL PRINT TULLE DRESS,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,79.9,79.9,In Stock,https://www.zara.com/us/en/animal-print-tulle-dress-p05039406.html,https://static.zara.net/assets/public/de06/b65e/4ff1452ebd9d/206f0f987642/05039406051-p/05039406051-p.jpg,zara-store
SATIN EFFECT MIDI HALTER DRESS,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,59.9,59.9,In Stock,https://www.zara.com/us/en/satin-midi-halter-dress-p04772386.html,https://static.zara.net/assets/public/bd3c/9a50/67854d73a39d/99d4023aa31e/04772386800-015-a2/04772386800-015-a2.jpg,zara-store
RUCHED CUTOUT MIDI DRESS,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,59.9,59.9,In Stock,https://www.zara.com/us/en/ruched-cutout-midi-dress-p04772214.html,https://static.zara.net/assets/public/f5a6/b425/283f4c648878/f753186cbaa6/04772214800-p/04772214800-p.jpg,zara-store
PLEATED SLEEVE MINI DRESS,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,69.9,69.9,In Stock,https://www.zara.com/us/en/mini-dress-with-pleated-sleeves-p07827777.html,https://static.zara.net/assets/public/b391/8b0f/09cd4aeca120/ff7439dc6c0d/03067206251-a1/03067206251-a1.jpg,zara-store
CREPE MIDI DRESS,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,69.9,69.9,In Stock,https://www.zara.com/us/en/crepe-midi-dress-p04387235.html,https://static.zara.net/assets/public/eff3/798b/6a2742d298eb/7e6b413d9114/04387235251-p/04387235251-p.jpg,zara-store
100% LEATHER ZIP-UP MINI DRESS,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,169.0,169.0,Coming Soon,https://www.zara.com/us/en/100-leather-zip-up-mini-dress-p03046292.html,https://static.zara.net/assets/public/2737/99af/3cea45628065/0920b0466c8f/03046292305-a1/03046292305-a1.jpg,zara-store
SHORT BACK OPENING DRESS,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,59.9,59.9,Coming Soon,https://www.zara.com/us/en/short-back-opening-dress-p08741271.html,https://static.zara.net/assets/public/d86d/f761/308543298db2/6a16eb53d145/08741271800-p/08741271800-p.jpg,zara-store
SEQUIN OPEN-BACK DRESS,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,129.0,129.0,In Stock,https://www.zara.com/us/en/open-back-sequin-dress-p01223721.html,https://static.zara.net/assets/public/902f/b8a2/ec6342bb974b/90435057c88b/01223721756-a1/01223721756-a1.jpg,zara-store
LONG FLORAL PRINT DRESS,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,149.0,149.0,In Stock,https://www.zara.com/us/en/floral-print-maxi-dress-p02488710.html,https://static.zara.net/assets/public/7579/f60a/c27a4f58b71c/10dc9a2705f2/02488710710-a1/02488710710-a1.jpg,zara-store
STRIPED BELTED MIDI SHIRT DRESS,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,89.9,89.9,In Stock,https://www.zara.com/us/en/striped-belted-midi-shirt-dress-p05029215.html,https://static.zara.net/assets/public/71ff/c2a6/4ff44c838430/b21498fc76b5/05029215104-p/05029215104-p.jpg,zara-store
STRIPED MIDI SHIRT DRESS WITH BELT,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,79.9,79.9,Coming Soon,https://www.zara.com/us/en/striped-midi-belted-shirt-dress-p02587157.html,https://static.zara.net/assets/public/60e8/a0b0/c5c24060a2a5/413b3afd0e47/02587157330-p/02587157330-p.jpg,zara-store
ZW COLLECTION EMBROIDERED FRINGE DRESS,zara,dresses-jumpsuits,Women's Dresses & Jumpsuits,Women,149.0,149.0,Coming Soon,https://www.zara.com/us/en/zw-collection-embroidered-fringe-dress-p07521256.html,https://static.zara.net/assets/public/4659/db43/c4fb4ae290cf/6b7226e27841/07521256629-p/07521256629-p.jpg,zara-store
Collins Super Baggy Jeans,hm,men-jeans-baggy,Men's Jeans,Men,54.99,54.99,In Stock,https://www2.hm.com/en_us/productpage.1252606015.html,https://image.hm.com/assets/hm/48/e6/48e65b5303fd3c73cbeb2e107fa8c1c33b7b41d7.jpg,hm-store
Ultra Baggy Jeans,hm,men-jeans-baggy,Men's Jeans,Men,54.99,54.99,In Stock,https://www2.hm.com/en_us/productpage.1344244002.html,https://image.hm.com/assets/hm/9d/09/9d09b31aaf5e6ccdfc4bc528084b35c4840ecd49.jpg,hm-store
Regular Jeans,hm,men-jeans-regular,Men's Jeans,Men,34.99,34.99,In Stock,https://www2.hm.com/en_us/productpage.1311674007.html,https://image.hm.com/assets/hm/22/dd/22ddea984a4d2ddeee51cacc1d852e363b9fcea2.jpg,hm-store
Fairfax Baggy Jeans,hm,men-jeans,Men's Jeans,Men,49.99,49.99,In Stock,https://www2.hm.com/en_us/productpage.1235448024.html,https://image.hm.com/assets/hm/a5/59/a55995c00a296ab971ffb8c46b9b2f24dd2eadd8.jpg,hm-store
Loose Jeans,hm,men-jeans-loose,Men's Jeans,Men,54.99,54.99,In Stock,https://www2.hm.com/en_us/productpage.1352026001.html,https://image.hm.com/assets/hm/7e/4a/7e4a4954086a6b934d6c7995446e896f28878a25.jpg,hm-store
Relaxed Jeans,hm,men-jeans-relaxed,Men's Jeans,Men,49.99,49.99,In Stock,https://www2.hm.com/en_us/productpage.1340673001.html,https://image.hm.com/assets/hm/fa/2d/fa2d3adc00c1cbf58a8a3289136c28520eb597ce.jpg,hm-store
Slim Jeans,hm,men-jeans-slim,Men's Jeans,Men,49.99,49.99,In Stock,https://www2.hm.com/en_us/productpage.1311677001.html,https://image.hm.com/assets/hm/4e/fd/4efd534578eea29628a17a5cd767194345a1390a.jpg,hm-store
Wide-Leg Jeans,hm,men-jeans-loose,Men's Jeans,Men,49.99,49.99,In Stock,https://www2.hm.com/en_us/productpage.1348295001.html,https://image.hm.com/assets/hm/7e/88/7e88598847235af5137122c67f833dd73aa85df9.jpg,hm-store
Collins Super Baggy Jeans (2),hm,men-jeans-baggy,Men's Jeans,Men,54.99,54.99,In Stock,https://www2.hm.com/en_us/productpage.1252606017.html,https://image.hm.com/assets/hm/24/16/24162e7ca43a75507c157343fc6b841cd5ded3da.jpg,hm-store
Collins Super Baggy Jeans (3),hm,men-jeans-baggy,Men's Jeans,Men,54.99,54.99,In Stock,https://www2.hm.com/en_us/productpage.1252606018.html,https://image.hm.com/assets/hm/57/2c/572cabfa26bb948817df4059011061f976cf7141.jpg,hm-store
Baggy Jeans,hm,men-jeans-baggy,Men's Jeans,Men,39.99,39.99,In Stock,https://www2.hm.com/en_us/productpage.1336394005.html,https://image.hm.com/assets/hm/4f/2f/4f2fc8489fcbaed1555a9ff3e751b51c7b29390b.jpg,hm-store
