product_name,brand_slug,category_slug,subcategory,gender,price,original_price,availability,product_url,product_image_url
ASOS DESIGN boat neck waist detail midi dress in chocolate,asos-design,dresses,Dress,Women,59.99,59.99,In Stock,https://www.asos.com/us/asos-design/asos-design-boat-neck-waist-detail-midi-dress-in-chocolate/prd/210896598#colourWayId-210896601,https://images.asos-media.com/products/asos-design-boat-neck-waist-detail-midi-dress-in-chocolate/210896598-1-chocolate/?$n_480w$&wid=476&fit=constrain
ASOS DESIGN polka dot high neck drop waist midi dress in lemon and brown,asos-design,dresses,Dress,Women,59.99,59.99,In Stock,https://www.asos.com/us/asos-design/asos-design-polka-dot-high-neck-drop-waist-midi-dress-in-lemon-and-brown/prd/211076435#colourWayId-211076438,https://images.asos-media.com/products/asos-design-polka-dot-high-neck-drop-waist-midi-dress-in-lemon-and-brown/211076435-1-lemonandbrown/?$n_480w$&wid=476&fit=constrain
ASOS DESIGN maxi dress with draped skirt into scarf detailing in mono black and white,asos-design,dresses,Dress,Women,74.99,74.99,In Stock,https://www.asos.com/us/asos-design/asos-design-maxi-dress-with-draped-skirt-into-scarf-detailing-in-mono-black-and-white/prd/210672092#colourWayId-210672100,https://images.asos-media.com/products/asos-design-maxi-dress-with-draped-skirt-into-scarf-detailing-in-mono-black-and-white/210672092-1-mono/?$n_480w$&wid=476&fit=constrain
ASOS DESIGN off the shoulder wrap bodice detailing maxi dress with train in green,asos-design,dresses,Dress,Women,94.99,94.99,In Stock,https://www.asos.com/us/asos-design/asos-design-off-the-shoulder-wrap-bodice-detailing-maxi-dress-with-train-in-green/prd/210569883#colourWayId-210569907,https://images.asos-media.com/products/asos-design-off-the-shoulder-wrap-bodice-detailing-maxi-dress-with-train-in-green/210569883-1-olive/?$n_480w$&wid=476&fit=constrain
ASOS DESIGN mesh maxi dress with ruching and frill details in pink,asos-design,dresses,Dress,Women,79.99,79.99,In Stock,https://www.asos.com/us/asos-design/asos-design-mesh-maxi-dress-with-ruching-and-frill-details-in-pink/prd/210746998#colourWayId-210747004,https://images.asos-media.com/products/asos-design-mesh-maxi-dress-with-ruching-and-frill-details-in-pink/210746998-1-pink/?$n_480w$&wid=476&fit=constrain
ASOS DESIGN twist shoulder with lace up back maxi dress in black,asos-design,dresses,Dress,Women,64.99,64.99,In Stock,https://www.asos.com/us/asos-design/asos-design-twist-shoulder-with-lace-up-back-maxi-dress-in-black/prd/207789200#colourWayId-207789203,https://images.asos-media.com/products/asos-design-twist-shoulder-with-lace-up-back-maxi-dress-in-black/207789200-1-black/?$n_480w$&wid=476&fit=constrain
ASOS DESIGN lace appliqué grown on sleeve bias cut satin midi dress in plum,asos-design,dresses,Dress,Women,69.99,69.99,In Stock,https://www.asos.com/us/asos-design/asos-design-lace-applique-grown-on-sleeve-bias-cut-satin-midi-dress-in-plum/prd/209827204#colourWayId-209827212,https://images.asos-media.com/products/asos-design-lace-applique-grown-on-sleeve-bias-cut-satin-midi-dress-in-plum/209827204-1-plum/?$n_480w$&wid=476&fit=constrain
ASOS DESIGN cut-out detail midaxi dress in mono polka dot,asos-design,dresses,Dress,Women,59.99,59.99,In Stock,https://www.asos.com/us/asos-design/asos-design-cut-out-detail-midaxi-dress-in-mono-polka-dot/prd/210987260#colourWayId-210987262,https://images.asos-media.com/products/asos-design-cut-out-detail-midaxi-dress-in-mono-polka-dot/210987260-1-monospot/?$n_480w$&wid=476&fit=constrain
ASOS DESIGN mesh long sleeve maxi dress in lemon,asos-design,dresses,Dress,Women,79.99,79.99,In Stock,https://www.asos.com/us/asos-design/asos-design-mesh-long-sleeve-maxi-dress-in-lemon/prd/210520286#colourWayId-210520287,https://images.asos-media.com/products/asos-design-mesh-long-sleeve-maxi-dress-in-lemon/210520286-1-lemon/?$n_480w$&wid=476&fit=constrain
ASOS DESIGN draped halter neck maxi dress with knot back detail in floral print,asos-design,dresses,Dress,Women,99.99,99.99,In Stock,https://www.asos.com/us/asos-design/asos-design-draped-halter-neck-maxi-dress-with-knot-back-detail-in-floral-print/prd/210638152#colourWayId-210638154,
New Balance 740 in beige and brown - Exclusive to ASOS,new-balance,shoes,Sneakers,Unisex,109.99,109.99,In Stock,https://www.asos.com/us/new-balance/new-balance-740-in-beige-and-brown-exclusive-to-asos/prd/207470989#colourWayId-207470990,https://images.asos-media.com/products/new-balance-740-in-beige-and-brown-exclusive-to-asos/207470989-1-beige/?$n_480w$&wid=476&fit=constrain
New Balance 9060 sneakers with ribbon laces in beige - Exclusive to ASOS,new-balance,shoes,Sneakers,Unisex,159.99,159.99,In Stock,https://www.asos.com/us/new-balance/new-balance-9060-sneakers-with-ribbon-laces-in-beige-exclusive-to-asos/prd/206991987#colourWayId-206991988,https://images.asos-media.com/products/new-balance-9060-sneakers-with-ribbon-laces-in-beige-exclusive-to-asos/206991987-1-beige/?$n_480w$&wid=476&fit=constrain
New Balance 740 sneakers in beige - Exclusive to ASOS,new-balance,shoes,Sneakers,Unisex,114.99,114.99,In Stock,https://www.asos.com/us/new-balance/new-balance-740-sneakers-in-beige-exclusive-to-asos/prd/207206543#colourWayId-207206544,https://images.asos-media.com/products/new-balance-740-sneakers-in-beige-exclusive-to-asos/207206543-1-beige/?$n_480w$&wid=476&fit=constrain
Nike V5 RNR sneakers in beige,nike,shoes,Sneakers,Unisex,95,95,In Stock,https://www.asos.com/us/nike/nike-v5-rnr-sneakers-in-beige/prd/208418155#colourWayId-208418156,https://images.asos-media.com/products/nike-v5-rnr-sneakers-in-beige/208418155-1-beige/?$n_480w$&wid=476&fit=constrain
New Balance 204L sneakers in brown,new-balance,shoes,Sneakers,Unisex,119.99,119.99,In Stock,https://www.asos.com/us/new-balance/new-balance-204l-sneakers-in-brown/prd/210213006#colourWayId-210213019,https://images.asos-media.com/products/new-balance-204l-sneakers-in-brown/210213006-1-brown/?$n_480w$&wid=476&fit=constrain
New Balance 530 sneakers with ribbon laces in silver - Exclusive to ASOS,new-balance,shoes,Sneakers,Unisex,99.99,99.99,In Stock,https://www.asos.com/us/new-balance/new-balance-530-sneakers-with-ribbon-laces-in-silver-exclusive-to-asos/prd/206991973#colourWayId-206991974,https://images.asos-media.com/products/new-balance-530-sneakers-with-ribbon-laces-in-silver-exclusive-to-asos/206991973-1-silver/?$n_480w$&wid=476&fit=constrain
adidas Originals Samba x Liberty OG sneakers in burgundy paisley print,adidas-originals,shoes,Sneakers,Unisex,110,110,In Stock,https://www.asos.com/us/adidas-originals/adidas-originals-samba-x-liberty-og-sneakers-in-burgundy-paisley-print/prd/210519633#colourWayId-210519640,https://images.asos-media.com/products/adidas-originals-samba-x-liberty-og-sneakers-in-burgundy-paisley-print/210519633-1-burgundy/?$n_480w$&wid=476&fit=constrain
adidas Originals Samba OG sneakers in navy and gray,adidas-originals,shoes,Sneakers,Unisex,110,110,In Stock,https://www.asos.com/us/adidas-originals/adidas-originals-samba-og-sneakers-in-navy-and-gray/prd/209359916#colourWayId-209359918,https://images.asos-media.com/products/adidas-originals-samba-og-sneakers-in-navy-and-gray/209359916-1-navy/?$n_480w$&wid=476&fit=constrain
New Balance 530 sneakers in cream and brown,new-balance,shoes,Sneakers,Unisex,109.99,109.99,In Stock,https://www.asos.com/us/new-balance/new-balance-530-sneakers-in-cream-and-brown/prd/210717751#colourWayId-210717776,https://images.asos-media.com/products/new-balance-530-sneakers-in-cream-and-brown/210717751-1-cream/?$n_480w$&wid=476&fit=constrain
Nike Air Rift sneakers in beige,nike,shoes,Sneakers,Unisex,125,125,In Stock,https://www.asos.com/us/nike/nike-air-rift-sneakers-in-beige/prd/207499260#colourWayId-207499262,
