product_name,brand_slug,category_slug,subcategory,gender,price,original_price,availability,product_url,product_image_url,store_slug
Brighton V2,new-balance,shoes,Golf/Athletic Shoes,Unisex,119.99,119.99,In Stock,https://www.newbalance.com/pd/brighton-v2/MG202.html,https://nb.scene7.com/is/image/NB/mg202wgy_nb_02_i?$pdpflexf2$,new-balance-store
550 SL,new-balance,shoes,Golf/Athletic Shoes,Unisex,139.95,139.95,In Stock,https://www.newbalance.com/pd/550-sl/MG550.html,https://nb.scene7.com/is/image/NB/mg550wt_nb_02_i?$pdpflexf2$,new-balance-store
997 Golf,new-balance,shoes,Golf/Athletic Shoes,Unisex,134.99,134.99,In Stock,https://www.newbalance.com/pd/997-golf/MG997.html,https://nb.scene7.com/is/image/NB/mg997gb_nb_02_i?$pdpflexf2$,new-balance-store
Brighton V2 (W),new-balance,shoes,Golf/Athletic Shoes,Unisex,119.99,119.99,In Stock,https://www.newbalance.com/pd/brighton-v2/WG202.html,https://nb.scene7.com/is/image/NB/wg202wgy_nb_02_i?$pdpflexf2$,new-balance-store
327 Golf,new-balance,shoes,Golf/Athletic Shoes,Unisex,119.99,119.99,In Stock,https://www.newbalance.com/pd/327-golf/WG327.html,https://nb.scene7.com/is/image/NB/wg327wtb_nb_02_i?$pdpflexf2$,new-balance-store
Youth Adversary 2 Knicker Solid Athletic,new-balance,shoes,Golf/Athletic Shoes,Unisex,54.99,54.99,In Stock,https://www.newbalance.com/pd/youth-adversary-2-knicker-solid-athletic/BBP236.html,https://nb.scene7.com/is/image/NB/bbp236gr_nb_40_i?$pdpflexf2$,new-balance-store
Youth Adversary 2 Knicker Piped Athletic,new-balance,shoes,Golf/Athletic Shoes,Unisex,54.99,54.99,In Stock,https://www.newbalance.com/pd/youth-adversary-2-knicker-piped-athletic/BBP240.html,https://nb.scene7.com/is/image/NB/bbp240wk_nb_40_i?$pdpflexf2$,new-balance-store
Youth Adversary 2 Pant Piped Tapered,new-balance,shoes,Golf/Athletic Shoes,Unisex,54.99,54.99,In Stock,https://www.newbalance.com/pd/youth-adversary-2-pant-piped-tapered/BBP316.html,https://nb.scene7.com/is/image/NB/bbp316wk_nb_01_i?$pdpflexf2$,new-balance-store
Youth Adversary 2 Pant Solid Tapered,new-balance,shoes,Golf/Athletic Shoes,Unisex,54.99,54.99,In Stock,https://www.newbalance.com/pd/youth-adversary-2-pant-solid-tapered/BBP332.html,https://nb.scene7.com/is/image/NB/bbp332gr_nb_01_i?$pdpflexf2$,new-balance-store
Adversary 2 Knicker Solid Athletic,new-balance,shoes,Golf/Athletic Shoes,Unisex,54.99,54.99,In Stock,https://www.newbalance.com/pd/adversary-2-knicker-solid-athletic/BMP236.html,https://nb.scene7.com/is/image/NB/bmp236wt_nb_70_i?$pdpflexf2$,new-balance-store
