product_name,brand_slug,category_slug,subcategory,gender,price,original_price,availability,product_url,product_image_url,store_slug
Freeform Hardside Carry-On Luggage - Electric Yellow,samsonite,luggage,Luggage & Travel Bags,Unisex,195.65,195.65,In Stock,https://www.amazon.com/Samsonite-Freeform-Hardside-Luggage-Spinner/dp/B0FY5NS7XX,https://m.media-amazon.com/images/I/61UNg1GdHDL._AC_UL320_.jpg,amazon
Omni 2 Hardside 2 Piece Set - Icy Lilac,samsonite,luggage,Luggage & Travel Bags,Unisex,177.17,177.17,In Stock,https://www.amazon.com/Samsonite-Hardside-Expandable-Luggage-Spinner/dp/B0G22KSRCM,https://m.media-amazon.com/images/I/91wWuKpW7WL._AC_UL320_.jpg,amazon
Centric 2 Hardside Expandable Luggage 3-Piece Set - Black,samsonite,luggage,Luggage & Travel Bags,Unisex,293.48,293.48,In Stock,https://www.amazon.com/Samsonite-Centric-Hardside-Expandable-Luggage/dp/B081JD53DJ,https://m.media-amazon.com/images/I/71vF7oZFuKL._AC_UL320_.jpg,amazon
Andante 2 Wheeled Duffel Bag - All Black,samsonite,luggage,Luggage & Travel Bags,Unisex,136.96,136.96,In Stock,https://www.amazon.com/Samsonite-Inch-Rolling-Duffel-Black/dp/B07HPLJLZJ,https://m.media-amazon.com/images/I/81vZ3E+MhlL._AC_UL320_.jpg,amazon
Omni 2 Domestic Carry-On Luggage - Nova Teal,samsonite,luggage,Luggage & Travel Bags,Unisex,92.39,92.39,In Stock,https://www.amazon.com/Samsonite-Hardside-Expandable-Luggage-Spinner/dp/B0FY7DMD1D,https://m.media-amazon.com/images/I/81CISS6f9UL._AC_UL320_.jpg,amazon
Omni 2 Pro Hardside Expandable Luggage - Midnight Black,samsonite,luggage,Luggage & Travel Bags,Unisex,119.57,119.57,In Stock,https://www.amazon.com/Samsonite-147749-1548-Midnight-Black/dp/B0BJ2R4YZK,https://m.media-amazon.com/images/I/71LSTZPyTKL._AC_UL320_.jpg,amazon
Saire LTE Softside Expandable Luggage 3PC Set - Olive Green,samsonite,luggage,Luggage & Travel Bags,Unisex,348.91,348.91,In Stock,https://www.amazon.com/Samsonite-Softside-Expandable-Luggage-Spinners/dp/B0DX7HWBG7,https://m.media-amazon.com/images/I/71ejwDiBkoL._AC_UL320_.jpg,amazon
Omni 2 Hardside Expandable Luggage 3-Piece Set - Emerald Green,samsonite,luggage,Luggage & Travel Bags,Unisex,322.83,322.83,In Stock,https://www.amazon.com/Samsonite-Hardside-Expandable-Luggage-Spinner/dp/B0FY7F3BD5,https://m.media-amazon.com/images/I/81KD5bb+31L._AC_UL320_.jpg,amazon
Scure Spinner 75/28 Hardside Suitcase,samsonite,luggage,Luggage & Travel Bags,Unisex,144.57,144.57,In Stock,https://www.amazon.com/Samsonite-Scure-Spinner-10U002-49308/dp/B007WQJSGM,https://m.media-amazon.com/images/I/81nKW2g0SPL._AC_UL320_.jpg,amazon
Scure Renewed Classic Hardside Suitcase - Black,samsonite,luggage,Luggage & Travel Bags,Unisex,176.09,176.09,In Stock,https://www.amazon.com/Samsonite-Scure-Renewed-Classic-black/dp/B0G71JFW5Y,https://m.media-amazon.com/images/I/61ddE8PAs2L._AC_UL320_.jpg,amazon
