product_name,brand_slug,category_slug,subcategory,gender,price,original_price,availability,product_url,product_image_url,store_slug
belted cotton shirt,balenciaga,accessories,Accessories,Women,668.35,1987.34,In Stock,https://www.farfetch.com/shopping/women/balenciaga-belted-cotton-shirt-item-25237732.aspx,https://cdn-images.farfetch-contents.com/25/23/77/32/25237732_55456632_480.jpg,farfetch-store
Cagole mules,balenciaga,shoes,Shoes,Women,696.2,881.01,In Stock,https://www.farfetch.com/shopping/women/balenciaga-cagole-mules-item-24177787.aspx,https://cdn-images.farfetch-contents.com/24/17/77/87/24177787_54450766_480.jpg,farfetch-store
draped glittered mini dress,balenciaga,dresses,Dresses,Women,959.49,1586.08,In Stock,https://www.farfetch.com/shopping/women/balenciaga-draped-glittered-mini-dress-item-21729198.aspx,https://cdn-images.farfetch-contents.com/21/72/91/98/21729198_54176121_480.jpg,farfetch-store
Cagole 110mm leather sandals,balenciaga,shoes,Shoes,Women,956.96,1558.23,In Stock,https://www.farfetch.com/shopping/women/balenciaga-cagole-110mm-leather-sandals-item-23389563.aspx,https://cdn-images.farfetch-contents.com/23/38/95/63/23389563_53527758_480.jpg,farfetch-store
techwear fitted long sleeve top,balenciaga,clothing,Clothing,Women,592.41,592.41,In Stock,https://www.farfetch.com/shopping/women/balenciaga-techwear-fitted-long-sleeve-top-item-37943412.aspx,https://cdn-images.farfetch-contents.com/37/94/34/12/37943412_71535025_480.jpg,farfetch-store
Gaeta wedge thong sandals in black,balenciaga,shoes,Shoes,Women,744.3,744.3,In Stock,https://www.farfetch.com/shopping/women/balenciaga-gaeta-wedge-thong-sandals-in-black-item-37759669.aspx,https://cdn-images.farfetch-contents.com/37/75/96/69/37759669_70624418_480.jpg,farfetch-store
logo-print panelled leggings,balenciaga,clothing,Clothing,Women,792.41,792.41,In Stock,https://www.farfetch.com/shopping/women/balenciaga-logo-print-panelled-leggings-item-36624912.aspx,https://cdn-images.farfetch-contents.com/36/62/49/12/36624912_70266848_480.jpg,farfetch-store
twisted seam jeans in bleach light blue,balenciaga,clothing,Clothing,Women,1074.68,1074.68,In Stock,https://www.farfetch.com/shopping/women/balenciaga-twisted-seam-jeans-in-bleach-light-bleu-item-37372107.aspx,https://cdn-images.farfetch-contents.com/37/37/21/07/37372107_70054351_480.jpg,farfetch-store
techwear short long sleeve bodysuit in black,balenciaga,clothing,Clothing,Women,1074.68,1074.68,In Stock,https://www.farfetch.com/shopping/women/balenciaga-techwear-short-long-sleeve-bodysuit-in-black-item-37313187.aspx,https://cdn-images.farfetch-contents.com/37/31/31/87/37313187_69952397_480.jpg,farfetch-store
Le City Pouch shoulder bag,balenciaga,bags,Bags,Women,907.59,907.59,In Stock,https://www.farfetch.com/shopping/women/balenciaga-le-city-pouch-shoulder-bag-item-37943320.aspx,https://cdn-images.farfetch-contents.com/37/94/33/20/37943320_71539422_480.jpg,farfetch-store
Le City bag medium in black,balenciaga,bags,Bags,Women,2525.32,2525.32,In Stock,https://www.farfetch.com/shopping/women/balenciaga-le-city-bag-medium-in-black-item-34276521.aspx,https://cdn-images.farfetch-contents.com/34/27/65/21/34276521_71572511_480.jpg,farfetch-store
