product_name,brand_slug,category_slug,subcategory,gender,price,original_price,availability,product_url,product_image_url,store_slug
logo-plaque stud earrings,coach,jewelry-accessories,Jewelry-Accessories,Women,83.0,83.0,In Stock,https://www.farfetch.com/shopping/women/coach-logo-plaque-stud-earrings-item-38164418.aspx,https://cdn-images.farfetch-contents.com/38/16/44/18/38164418_71474498_480.jpg,farfetch-store
logo-plaque bracelet,coach,jewelry-accessories,Jewelry-Accessories,Women,129.0,129.0,In Stock,https://www.farfetch.com/shopping/women/coach-logo-plaque-bracelet-item-38163560.aspx,https://cdn-images.farfetch-contents.com/38/16/35/60/38163560_71242356_480.jpg,farfetch-store
26 Tabby shoulder bag,coach,bags,Bags,Women,550.0,550.0,In Stock,https://www.farfetch.com/shopping/women/coach-26-tabby-shoulder-bag-item-25793055.aspx,https://cdn-images.farfetch-contents.com/25/79/30/55/25793055_55910259_480.jpg,farfetch-store
logo-pendant pearl-detail necklace,coach,jewelry-accessories,Jewelry-Accessories,Women,129.0,129.0,In Stock,https://www.farfetch.com/shopping/women/coach-logo-pendant-pearl-detail-necklace-item-38163383.aspx,https://cdn-images.farfetch-contents.com/38/16/33/83/38163383_71345033_480.jpg,farfetch-store
23 Lana tote bag,coach,bags,Bags,Women,462.0,462.0,In Stock,https://www.farfetch.com/shopping/women/coach-23-lana-tote-bag-item-29029958.aspx,https://cdn-images.farfetch-contents.com/29/02/99/58/29029958_58260146_480.jpg,farfetch-store
logo-plaque leather cardholder,coach,bags,Bags,Women,124.0,124.0,In Stock,https://www.farfetch.com/shopping/women/coach-logo-plaque-leather-cardholder-item-21348545.aspx,https://cdn-images.farfetch-contents.com/21/34/85/45/21348545_51538319_480.jpg,farfetch-store
Tabby 20 leather shoulder bag,coach,bags,Bags,Women,350.0,350.0,In Stock,https://www.farfetch.com/shopping/women/coach-tabby-20-leather-shoulder-bag-item-26619416.aspx,https://cdn-images.farfetch-contents.com/26/61/94/16/26619416_69502809_480.jpg,farfetch-store
39 Brooklyn logo tote bag,coach,bags,Bags,Women,498.0,498.0,In Stock,https://www.farfetch.com/shopping/women/coach-39-brooklyn-logo-tote-bag-item-34967502.aspx,https://cdn-images.farfetch-contents.com/34/96/75/02/34967502_67022450_480.jpg,farfetch-store
crystal-embellished buckle-fastening sandals,coach,shoes,Shoes,Women,185.0,185.0,In Stock,https://www.farfetch.com/shopping/women/coach-crystal-embellished-buckle-fastening-sandals-item-36529230.aspx,https://cdn-images.farfetch-contents.com/36/52/92/30/36529230_69109860_480.jpg,farfetch-store
Leah patent-leather loafers,coach,shoes,Shoes,Women,146.0,195.0,In Stock,https://www.farfetch.com/shopping/women/coach-leah-patent-leather-loafers-item-21454262.aspx,https://cdn-images.farfetch-contents.com/21/45/42/62/21454262_51412033_480.jpg,farfetch-store
Tabby leather shoulder bag,coach,bags,Bags,Women,597.0,597.0,In Stock,https://www.farfetch.com/shopping/women/coach-tabby-leather-shoulder-bag-item-32392493.aspx,https://cdn-images.farfetch-contents.com/32/39/24/93/32392493_63695383_480.jpg,farfetch-store
Lana shoulder bag 19,coach,bags,Bags,Women,509.0,509.0,In Stock,https://www.farfetch.com/shopping/women/coach-lana-shoulder-bag-19-item-36736807.aspx,https://cdn-images.farfetch-contents.com/36/73/68/07/36736807_69357935_480.jpg,farfetch-store
