product_name,brand_slug,category_slug,subcategory,gender,price,original_price,availability,product_url,product_image_url,store_slug
Piper flat pumps,michael-kors,shoes,Women's Shoes,Women,274.0,274.0,In Stock,https://www.farfetch.com/shopping/women/michael-kors-piper-flat-pumps-item-36755784.aspx,https://cdn-images.farfetch-contents.com/36/75/57/84/36755784_71055541_480.jpg,farfetch-store
Keaton leather sneakers,michael-kors,shoes,Women's Shoes,Women,205.0,205.0,In Stock,https://www.farfetch.com/shopping/women/michael-kors-keaton-leather-sneakers-item-23366937.aspx,https://cdn-images.farfetch-contents.com/23/36/69/37/23366937_53786135_480.jpg,farfetch-store
Pointed-toe chain-detail ballet flats,michael-kors,shoes,Women's Shoes,Women,236.0,236.0,In Stock,https://www.farfetch.com/shopping/women/michael-kors-pointed-toe-chain-detail-ballet-flats-item-33805654.aspx,https://cdn-images.farfetch-contents.com/33/80/56/54/33805654_64661770_480.jpg,farfetch-store
50mm Blake combat boots,michael-kors,shoes,Women's Shoes,Women,182.0,362.0,In Stock,https://www.farfetch.com/shopping/women/michael-kors-50mm-blake-combat-boots-item-30741008.aspx,https://cdn-images.farfetch-contents.com/30/74/10/08/30741008_60847661_480.jpg,farfetch-store
Peyton fringed woven sandals,michael-kors,shoes,Women's Shoes,Women,189.0,254.0,In Stock,https://www.farfetch.com/shopping/women/michael-kors-peyton-fringed-woven-sandals-item-36282929.aspx,https://cdn-images.farfetch-contents.com/36/28/29/29/36282929_68054303_480.jpg,farfetch-store
Cherie logo-print pumps,michael-kors,shoes,Women's Shoes,Women,299.0,299.0,In Stock,https://www.farfetch.com/shopping/women/michael-kors-cherie-logo-print-pumps-item-36756391.aspx,https://cdn-images.farfetch-contents.com/36/75/63/91/36756391_69553469_480.jpg,farfetch-store
Rhodes panelled suede sneakers,michael-kors,shoes,Women's Shoes,Women,207.0,207.0,In Stock,https://www.farfetch.com/shopping/women/michael-kors-rhodes-panelled-suede-sneakers-item-37073443.aspx,https://cdn-images.farfetch-contents.com/37/07/34/43/37073443_69580115_480.jpg,farfetch-store
Satin belted jumpsuit,michael-kors,clothing,Women's Clothing,Women,492.0,492.0,In Stock,https://www.farfetch.com/shopping/women/michael-kors-satin-belted-jumpsuit-item-36756460.aspx,https://cdn-images.farfetch-contents.com/36/75/64/60/36756460_69451163_480.jpg,farfetch-store
Ruched mini dress,michael-kors,dresses,Women's Clothing,Women,206.0,206.0,In Stock,https://www.farfetch.com/shopping/women/michael-kors-ruched-mini-dress-item-36755759.aspx,https://cdn-images.farfetch-contents.com/36/75/57/59/36755759_69424828_480.jpg,farfetch-store
Pleated ribbed skirt,michael-kors,clothing,Women's Clothing,Women,354.0,354.0,In Stock,https://www.farfetch.com/shopping/women/michael-kors-pleated-ribbed-skirt-item-34387197.aspx,https://cdn-images.farfetch-contents.com/34/38/71/97/34387197_66914118_480.jpg,farfetch-store
Smocked tie-neck blouse,michael-kors,clothing,Women's Clothing,Women,422.0,422.0,In Stock,https://www.farfetch.com/shopping/women/michael-kors-smocked-tie-neck-blouse-item-36756507.aspx,https://cdn-images.farfetch-contents.com/36/75/65/07/36756507_69451322_480.jpg,farfetch-store
Monogram trousers,michael-kors,clothing,Women's Clothing,Women,193.0,382.0,In Stock,https://www.farfetch.com/shopping/women/michael-kors-monogram-trousers-item-32926396.aspx,https://cdn-images.farfetch-contents.com/32/92/63/96/32926396_65061529_480.jpg,farfetch-store
Pleated linen short,michael-kors,clothing,Women's Clothing,Women,215.0,255.0,In Stock,https://www.farfetch.com/shopping/women/michael-kors-pleated-linen-short-item-34387177.aspx,https://cdn-images.farfetch-contents.com/34/38/71/77/34387177_66113709_480.jpg,farfetch-store
Smocked tiered midi dress,michael-kors,dresses,Women's Clothing,Women,525.0,525.0,In Stock,https://www.farfetch.com/shopping/women/michael-kors-smocked-tiered-midi-dress-item-36756454.aspx,https://cdn-images.farfetch-contents.com/36/75/64/54/36756454_69441690_480.jpg,farfetch-store
Sheila small crossbody bag,michael-kors,bags,Women's Bags,Women,264.27,554.27,In Stock,https://www.farfetch.com/shopping/women/michael-kors-bolsa-crossbody-sheila-pequena-item-35470898.aspx,https://cdn-images.farfetch-contents.com/35/47/08/98/35470898_66725315_480.jpg,farfetch-store
Quinn medium tote bag,michael-kors,bags,Women's Bags,Women,436.81,436.81,In Stock,https://www.farfetch.com/shopping/women/michael-kors-tote-quinn-mediano-item-36756395.aspx,https://cdn-images.farfetch-contents.com/36/75/63/95/36756395_70301924_480.jpg,farfetch-store
Wristlet shoulder bag,michael-kors,bags,Women's Bags,Women,206.81,206.81,In Stock,https://www.farfetch.com/shopping/women/michael-kors-bolsa-de-hombro-wristlet-item-31862777.aspx,https://cdn-images.farfetch-contents.com/31/86/27/77/31862777_61839190_480.jpg,farfetch-store
Hudson Commuter backpack,michael-kors,bags,Women's Bags,Women,443.73,639.95,In Stock,https://www.farfetch.com/shopping/women/michael-kors-mochila-hudson-commuter-item-23926072.aspx,https://cdn-images.farfetch-contents.com/23/92/60/72/23926072_55148680_480.jpg,farfetch-store
Jana mini leather crossbody bag,michael-kors,bags,Women's Bags,Women,392.11,392.11,In Stock,https://www.farfetch.com/shopping/women/michael-kors-bolsa-crossbody-jana-mini-de-piel-item-36755799.aspx,https://cdn-images.farfetch-contents.com/36/75/57/99/36755799_70089446_480.jpg,farfetch-store
Jaycee extra-small backpack,michael-kors,bags,Women's Bags,Women,258.65,616.16,In Stock,https://www.farfetch.com/shopping/women/michael-kors-mochila-jaycee-extrapequena-item-35630226.aspx,https://cdn-images.farfetch-contents.com/35/63/02/26/35630226_67116792_480.jpg,farfetch-store
Logo-print tote bag,michael-kors,bags,Women's Bags,Women,362.7,362.7,In Stock,https://www.farfetch.com/shopping/women/michael-kors-tote-con-logo-estampado-item-28944355.aspx,https://cdn-images.farfetch-contents.com/28/94/43/55/28944355_58415383_480.jpg,farfetch-store
