product_name,brand_slug,category_slug,subcategory,gender,price,original_price,availability,product_url,product_image_url
Nike Air Force 1 '07,nike,shoes,Men's Shoes,Men,115,115,In Stock,https://www.nike.com/t/air-force-1-07-mens-shoes-jBrhbr/CT2302-100,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a42a5d53-2f99-4e78-a081-9d07a2d0774a/AIR+FORCE+1+%2707.png"
Nike Zoom Vomero 5,nike,shoes,Women's Shoes,Women/Unisex,170,170,In Stock,https://www.nike.com/t/zoom-vomero-5-womens-shoes-KludgkH7/FD0884-025,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/525c15c8-ff31-4a90-b77f-259e4fecbc96/W+NIKE+ZOOM+VOMERO+5.png"
Nike Air Force 1 '07,nike,shoes,Men's Shoes,Men,115,115,In Stock,https://www.nike.com/t/air-force-1-07-mens-shoes-jBrhbr/CW2288-111,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e6da41fa-1be4-4ce5-b89c-22be4f1f02d4/AIR+FORCE+1+%2707.png"
Nike Air Force 1 '07,nike,shoes,Men's Shoes,Men,115,115,In Stock,https://www.nike.com/t/air-force-1-07-mens-shoes-jBrhbr/CW2288-001,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5daa00d9-afae-4125-a95c-fc71923b81c3/AIR+FORCE+1+%2707.png"
Nike Air Force 1 '07,nike,shoes,Women's Shoes,Women,115,115,In Stock,https://www.nike.com/t/air-force-1-07-womens-shoes-b19lqD/DD8959-100,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e777c881-5b62-4250-92a6-362967f54cca/WMNS+AIR+FORCE+1+%2707.png"
"Air Jordan 3 Retro ""True Blue""",jordan,shoes,Men's Shoes,Women/Men/Unisex,230,230,In Stock,https://www.nike.com/t/air-jordan-3-retro-true-blue-mens-shoes-1ViayvSi/IF4396-104,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/88e1020e-4f52-4000-b44c-b421c73b9db1/AIR+JORDAN+3+RETRO+OG.png"
Nike Air Force 1 '07,nike,shoes,Women's Shoes,Women,115,115,In Stock,https://www.nike.com/t/air-force-1-07-womens-shoes-b19lqD/DD8959-001,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/28862ef5-d0f9-488c-9d37-702cd834ea2f/WMNS+AIR+FORCE+1+%2707.png"
"Air Jordan 3 ""World's Best""",jordan,shoes,Men's Shoes,Women/Men/Unisex,215,215,In Stock,https://www.nike.com/t/air-jordan-3-worlds-best-mens-shoes-1ViayvSi/IF4396-103,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/31313d8b-c313-4270-91d8-f03d8078f960/AIR+JORDAN+3+RETRO+OG.png"
Nike P-6000,nike,shoes,Shoes,Men,125,125,In Stock,https://www.nike.com/t/p-6000-shoes-XkgpKW/CN0149-001,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/mcdrf7uxgwnem8l0sv0q/NIKE+P-6000.png"
Nike P-6000,nike,shoes,Shoes,Men/Unisex,115,115,In Stock,https://www.nike.com/t/p-6000-shoes-XkgpKW/CD6404-002,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/v6vr4e25eoq1ncjxqcjq/NIKE+P-6000.png"
