product_name,brand_slug,category_slug,subcategory,gender,store_slug,price,original_price,availability,product_url,image_url
Nike Air Runner,nike,sneakers,Sneakers,men,nike-store,2775,3700,IN STOCK,https://www.nike.com/p/nike-1-air-runner,https://picsum.photos/seed/nike-1-air-runner/600/600
Nike Ultra Trainer,nike,sneakers,Running Shoes,women,nike-store,1120,1400,LOW STOCK,https://www.nike.com/p/nike-2-ultra-trainer,https://picsum.photos/seed/nike-2-ultra-trainer/600/600
Nike Pro Sneaker,nike,sneakers,Training Shoes,unisex,nike-store,1080,1800,IN STOCK,https://www.nike.com/p/nike-3-pro-sneaker,https://picsum.photos/seed/nike-3-pro-sneaker/600/600
Nike React Basketball Shoe,nike,sneakers,Basketball Shoes,men,nike-store,5950,8500,IN STOCK,https://www.nike.com/p/nike-4-react-basketball-shoe,https://picsum.photos/seed/nike-4-react-basketball-shoe/600/600
Nike Flex Court Shoe,nike,sneakers,Lifestyle Sneakers,women,nike-store,2530,4600,IN STOCK,https://www.nike.com/p/nike-5-flex-court-shoe,https://picsum.photos/seed/nike-5-flex-court-shoe/600/600
Nike Boost Runner,nike,sneakers,Sneakers,unisex,nike-store,935,1700,IN STOCK,https://www.nike.com/p/nike-6-boost-runner,https://picsum.photos/seed/nike-6-boost-runner/600/600
Nike Prime Trainer,nike,sneakers,Running Shoes,men,nike-store,4480,5600,LOW STOCK,https://www.nike.com/p/nike-7-prime-trainer,https://picsum.photos/seed/nike-7-prime-trainer/600/600
Nike Air Sneaker,nike,sneakers,Training Shoes,women,nike-store,5270,6200,IN STOCK,https://www.nike.com/p/nike-8-air-sneaker,https://picsum.photos/seed/nike-8-air-sneaker/600/600
Nike Ultra Basketball Shoe,nike,sneakers,Basketball Shoes,unisex,nike-store,3570,4200,OUT OF STOCK,https://www.nike.com/p/nike-9-ultra-basketball-shoe,https://picsum.photos/seed/nike-9-ultra-basketball-shoe/600/600
Nike Pro Court Shoe,nike,sneakers,Lifestyle Sneakers,men,nike-store,1050,1400,IN STOCK,https://www.nike.com/p/nike-10-pro-court-shoe,https://picsum.photos/seed/nike-10-pro-court-shoe/600/600
Nike React Runner,nike,sneakers,Sneakers,women,nike-store,1760,2200,IN STOCK,https://www.nike.com/p/nike-11-react-runner,https://picsum.photos/seed/nike-11-react-runner/600/600
Nike Flex Trainer,nike,sneakers,Running Shoes,unisex,nike-store,4200,5600,IN STOCK,https://www.nike.com/p/nike-12-flex-trainer,https://picsum.photos/seed/nike-12-flex-trainer/600/600
Nike Boost Sneaker,nike,sneakers,Training Shoes,men,nike-store,3989,5700,IN STOCK,https://www.nike.com/p/nike-13-boost-sneaker,https://picsum.photos/seed/nike-13-boost-sneaker/600/600
Nike Prime Basketball Shoe,nike,sneakers,Basketball Shoes,women,nike-store,4400,5500,IN STOCK,https://www.nike.com/p/nike-14-prime-basketball-shoe,https://picsum.photos/seed/nike-14-prime-basketball-shoe/600/600
Nike Air Court Shoe,nike,sneakers,Lifestyle Sneakers,unisex,nike-store,4270,6100,IN STOCK,https://www.nike.com/p/nike-15-air-court-shoe,https://picsum.photos/seed/nike-15-air-court-shoe/600/600
Nike Ultra Runner,nike,sneakers,Sneakers,men,nike-store,2970,5400,IN STOCK,https://www.nike.com/p/nike-16-ultra-runner,https://picsum.photos/seed/nike-16-ultra-runner/600/600
Nike Pro Trainer,nike,sneakers,Running Shoes,women,nike-store,2400,4800,IN STOCK,https://www.nike.com/p/nike-17-pro-trainer,https://picsum.photos/seed/nike-17-pro-trainer/600/600
Nike React Sneaker,nike,sneakers,Training Shoes,unisex,nike-store,2250,3000,IN STOCK,https://www.nike.com/p/nike-18-react-sneaker,https://picsum.photos/seed/nike-18-react-sneaker/600/600
Nike Flex Basketball Shoe,nike,sneakers,Basketball Shoes,men,nike-store,2400,3000,IN STOCK,https://www.nike.com/p/nike-19-flex-basketball-shoe,https://picsum.photos/seed/nike-19-flex-basketball-shoe/600/600
Nike Boost Court Shoe,nike,sneakers,Lifestyle Sneakers,women,nike-store,2650,5300,LOW STOCK,https://www.nike.com/p/nike-20-boost-court-shoe,https://picsum.photos/seed/nike-20-boost-court-shoe/600/600
Adidas Air Runner,adidas,sneakers,Sneakers,men,adidas-store,3500,7000,IN STOCK,https://www.adidas.com/p/adidas-1-air-runner,https://picsum.photos/seed/adidas-1-air-runner/600/600
